filial_venda;ano_mes;venda_mensal;venda_anterior;crescimento_percentual;crescimento_percentual_br;rank_crescimento
6;2022-11;419139.73;318597.02;31.56;31,56;1
6;2022-10;318597.02;264037.04;20.66;20,66;2
6;2023-03;316776.62;279941.49;13.16;13,16;3
6;2023-05;343490.4;305695.8;12.36;12,36;4
6;2022-12;434635.57;419139.73;3.7;3,70;5
7;2023-03;30002.26;16588.38;80.86;80,86;1
7;2022-10;29526.71;17259.08;71.08;71,08;2
7;2022-11;44661.31;29526.71;51.26;51,26;3
7;2023-05;38251.04;25323.17;51.05;51,05;4
7;2022-12;45632.13;44661.31;2.17;2,17;5
8;2022-11;187435.24;134722.26;39.13;39,13;1
8;2023-03;120636.02;93329.17;29.26;29,26;2
8;2023-05;153142.28;130352.64;17.48;17,48;3
8;2023-04;130352.64;120636.02;8.05;8,05;4
8;2022-09;137913.81;129952.87;6.13;6,13;5
9;2023-05;125728.55;85606.46;46.87;46,87;1
9;2022-11;156975.12;108112.68;45.2;45,20;2
9;2022-09;99886.37;91920.24;8.67;8,67;3
9;2022-10;108112.68;99886.37;8.24;8,24;4
9;2023-03;93002.82;86078.5;8.04;8,04;5
10;2022-09;45712.06;32134.1;42.25;42,25;1
10;2022-11;72259.76;52613.12;37.34;37,34;2
10;2023-04;68484.81;54342.46;26.02;26,02;3
10;2023-03;54342.46;43233.89;25.69;25,69;4
10;2022-10;52613.12;45712.06;15.1;15,10;5
11;2022-12;65165.34;44692.07;45.81;45,81;1
11;2023-05;53320.94;40515.95;31.6;31,60;2
11;2023-03;36551.7;30026.4;21.73;21,73;3
11;2022-10;43995.5;38141.75;15.35;15,35;4
11;2023-04;40515.95;36551.7;10.85;10,85;5
12;2022-11;242680.04;174448.87;39.11;39,11;1
12;2023-03;216573.17;162908.27;32.94;32,94;2
12;2022-09;170684.01;150759.05;13.22;13,22;3
12;2023-05;203824.69;180870.48;12.69;12,69;4
12;2023-06;226382.53;203824.69;11.07;11,07;5
13;2022-10;30960.0;22363.37;38.44;38,44;1
13;2023-03;20626.8;15485.17;33.2;33,20;2
13;2022-11;38330.25;30960.0;23.81;23,81;3
13;2023-05;27861.54;22812.33;22.13;22,13;4
13;2023-04;22812.33;20626.8;10.6;10,60;5
14;2022-11;251564.24;201126.92;25.08;25,08;1
14;2022-10;201126.92;179943.55;11.77;11,77;2
14;2023-05;206135.07;189444.7;8.81;8,81;3
14;2023-03;190283.28;174997.43;8.73;8,73;4
14;2022-09;179943.55;166422.48;8.12;8,12;5
15;2022-11;226056.69;173647.0;30.18;30,18;1
15;2022-10;173647.0;139172.23;24.77;24,77;2
15;2023-03;163496.76;132753.44;23.16;23,16;3
15;2023-05;169169.71;146242.51;15.68;15,68;4
15;2022-08;128803.68;112945.53;14.04;14,04;5
16;2022-11;48762.25;28328.2;72.13;72,13;1
16;2023-05;36527.49;27938.61;30.74;30,74;2
16;2022-08;35427.95;30281.53;17.0;17,00;3
16;2023-06;42614.69;36527.49;16.66;16,66;4
16;2023-04;27938.61;24255.14;15.19;15,19;5
17;2022-09;135646.61;72404.66;87.35;87,35;1
17;2023-03;146911.51;84960.99;72.92;72,92;2
17;2022-11;180535.29;110737.73;63.03;63,03;3
17;2023-05;142304.43;113128.44;25.79;25,79;4
17;2023-06;146962.46;142304.43;3.27;3,27;5
18;2023-05;223389.76;158381.89;41.05;41,05;1
18;2022-11;244437.94;184481.67;32.5;32,50;2
18;2023-03;152728.78;136258.39;12.09;12,09;3
18;2022-10;184481.67;170724.29;8.06;8,06;4
18;2022-09;170724.29;163108.04;4.67;4,67;5
19;2022-11;154857.19;114403.38;35.36;35,36;1
19;2022-09;100945.99;82028.55;23.06;23,06;2
19;2022-10;114403.38;100945.99;13.33;13,33;3
19;2023-03;80160.08;72432.6;10.67;10,67;4
19;2023-06;82783.14;75291.57;9.95;9,95;5
20;2023-03;64122.97;40713.84;57.5;57,50;1
20;2022-10;77591.18;55047.47;40.95;40,95;2
20;2022-12;98556.7;84821.89;16.19;16,19;3
20;2022-11;84821.89;77591.18;9.32;9,32;4
20;2023-01;104624.6;98556.7;6.16;6,16;5
21;2023-03;46687.83;23751.41;96.57;96,57;1
21;2022-11;49043.12;28327.01;73.13;73,13;2
21;2022-08;37302.9;29990.58;24.38;24,38;3
21;2022-12;58814.81;49043.12;19.92;19,92;4
21;2023-05;48128.42;45114.85;6.68;6,68;5
22;2023-03;109051.73;77420.24;40.86;40,86;1
22;2022-11;143813.02;107707.89;33.52;33,52;2
22;2023-05;108447.38;90890.85;19.32;19,32;3
22;2023-06;122894.69;108447.38;13.32;13,32;4
22;2022-10;107707.89;101508.81;6.11;6,11;5
23;2022-09;62173.4;32423.24;91.76;91,76;1
23;2023-03;85143.02;51315.69;65.92;65,92;2
23;2022-11;124724.24;87815.58;42.03;42,03;3
23;2022-10;87815.58;62173.4;41.24;41,24;4
23;2023-05;75823.5;67843.61;11.76;11,76;5
24;2023-03;192415.9;146171.39;31.64;31,64;1
24;2022-11;229963.9;183086.68;25.6;25,60;2
24;2022-12;255671.82;229963.9;11.18;11,18;3
24;2022-09;172849.31;159856.66;8.13;8,13;4
24;2022-10;183086.68;172849.31;5.92;5,92;5
25;2022-11;135314.87;69257.56;95.38;95,38;1
25;2023-03;94887.31;64598.86;46.89;46,89;2
25;2022-09;81800.76;69899.13;17.03;17,03;3
25;2023-04;98076.01;94887.31;3.36;3,36;4
25;2023-05;88178.89;98076.01;-10.09;-10,09;5
26;2022-10;217010.25;166633.35;30.23;30,23;1
26;2023-03;208319.55;166388.95;25.2;25,20;2
26;2023-05;230225.56;198379.97;16.05;16,05;3
26;2022-11;236879.67;217010.25;9.16;9,16;4
26;2023-01;268932.73;248793.67;8.09;8,09;5
27;2022-11;79987.67;34548.67;131.52;131,52;1
27;2023-03;73587.63;49613.63;48.32;48,32;2
27;2023-05;57901.72;49051.2;18.04;18,04;3
27;2022-10;34548.67;30162.79;14.54;14,54;4
27;2023-02;49613.63;44310.16;11.97;11,97;5
28;2023-03;147795.37;105951.48;39.49;39,49;1
28;2022-10;181248.01;143293.19;26.49;26,49;2
28;2022-11;224002.22;181248.01;23.59;23,59;3
28;2022-09;143293.19;126555.02;13.23;13,23;4
28;2023-05;158519.09;144817.53;9.46;9,46;5
29;2023-04;38020.2;23486.41;61.88;61,88;1
29;2022-11;48897.75;34475.27;41.83;41,83;2
29;2023-06;53883.47;44371.66;21.44;21,44;3
